sess0001, 000000, None, None, GVWY, 2, 20, 0.100000, SHVR, 0, 20, 0.000000, ZIC, 23, 20, 1.150000, ZIP, 0, 20, 0.000000, N, N, 
sess0001, 000008, 129, 146, GVWY, 2, 20, 0.100000, SHVR, 0, 20, 0.000000, ZIC, 108, 20, 5.400000, ZIP, 0, 20, 0.000000, 129, 146, 
sess0001, 000008, 126, 145, GVWY, 2, 20, 0.100000, SHVR, 0, 20, 0.000000, ZIC, 108, 20, 5.400000, ZIP, 69, 20, 3.450000, 126, 145, 
sess0001, 000009, 100, 145, GVWY, 2, 20, 0.100000, SHVR, 0, 20, 0.000000, ZIC, 143, 20, 7.150000, ZIP, 85, 20, 4.250000, 100, 145, 
sess0001, 000011, 120, 144, GVWY, 30, 20, 1.500000, SHVR, 18, 20, 0.900000, ZIC, 143, 20, 7.150000, ZIP, 85, 20, 4.250000, 120, 144, 
sess0001, 000013, 120, 144, GVWY, 34, 20, 1.700000, SHVR, 18, 20, 0.900000, ZIC, 149, 20, 7.450000, ZIP, 85, 20, 4.250000, 120, 144, 
sess0001, 000014, 125, 144, GVWY, 39, 20, 1.950000, SHVR, 49, 20, 2.450000, ZIC, 149, 20, 7.450000, ZIP, 85, 20, 4.250000, 125, 144, 
sess0001, 000016, 111, 130, GVWY, 76, 20, 3.800000, SHVR, 49, 20, 2.450000, ZIC, 149, 20, 7.450000, ZIP, 86, 20, 4.300000, 111, 130, 
sess0001, 000018, 111, 129, GVWY, 76, 20, 3.800000, SHVR, 52, 20, 2.600000, ZIC, 149, 20, 7.450000, ZIP, 114, 20, 5.700000, 111, 129, 
sess0001, 000021, 103, 115, GVWY, 137, 20, 6.850000, SHVR, 52, 20, 2.600000, ZIC, 149, 20, 7.450000, ZIP, 114, 20, 5.700000, 103, 115, 
sess0001, 000022, 103, 110, GVWY, 137, 20, 6.850000, SHVR, 52, 20, 2.600000, ZIC, 149, 20, 7.450000, ZIP, 166, 20, 8.300000, 103, 110, 
sess0001, 000023, 79, 105, GVWY, 137, 20, 6.850000, SHVR, 54, 20, 2.700000, ZIC, 149, 20, 7.450000, ZIP, 177, 20, 8.850000, 79, 105, 
sess0001, 000025, 92, 102, GVWY, 137, 20, 6.850000, SHVR, 100, 20, 5.000000, ZIC, 172, 20, 8.600000, ZIP, 177, 20, 8.850000, 92, 102, 
sess0001, 000025, 92, 102, GVWY, 186, 20, 9.300000, SHVR, 131, 20, 6.550000, ZIC, 172, 20, 8.600000, ZIP, 177, 20, 8.850000, 92, 102, 
sess0001, 000027, 95, 97, GVWY, 186, 20, 9.300000, SHVR, 167, 20, 8.350000, ZIC, 172, 20, 8.600000, ZIP, 177, 20, 8.850000, 95, 97, 
sess0001, 000027, 93, 97, GVWY, 224, 20, 11.200000, SHVR, 180, 20, 9.000000, ZIC, 172, 20, 8.600000, ZIP, 177, 20, 8.850000, 93, 97, 
sess0001, 000028, 93, 95, GVWY, 224, 20, 11.200000, SHVR, 180, 20, 9.000000, ZIC, 172, 20, 8.600000, ZIP, 195, 20, 9.750000, 93, 95, 
sess0001, 000029, 93, 102, GVWY, 224, 20, 11.200000, SHVR, 180, 20, 9.000000, ZIC, 175, 20, 8.750000, ZIP, 215, 20, 10.750000, 93, 102, 
sess0001, 000031, 93, 100, GVWY, 224, 20, 11.200000, SHVR, 180, 20, 9.000000, ZIC, 175, 20, 8.750000, ZIP, 248, 20, 12.400000, 93, 100, 
sess0001, 000032, 93, 102, GVWY, 224, 20, 11.200000, SHVR, 218, 20, 10.900000, ZIC, 196, 20, 9.800000, ZIP, 248, 20, 12.400000, 93, 102, 
sess0001, 000033, 93, 103, GVWY, 224, 20, 11.200000, SHVR, 239, 20, 11.950000, ZIC, 216, 20, 10.800000, ZIP, 248, 20, 12.400000, 93, 103, 
sess0001, 000035, 93, 103, GVWY, 233, 20, 11.650000, SHVR, 286, 20, 14.300000, ZIC, 216, 20, 10.800000, ZIP, 248, 20, 12.400000, 93, 103, 
sess0001, 000037, 93, 103, GVWY, 233, 20, 11.650000, SHVR, 286, 20, 14.300000, ZIC, 251, 20, 12.550000, ZIP, 280, 20, 14.000000, 93, 103, 
sess0001, 000037, 93, 109, GVWY, 267, 20, 13.350000, SHVR, 286, 20, 14.300000, ZIC, 251, 20, 12.550000, ZIP, 280, 20, 14.000000, 93, 109, 
sess0001, 000040, 96, 101, GVWY, 268, 20, 13.400000, SHVR, 305, 20, 15.250000, ZIC, 251, 20, 12.550000, ZIP, 280, 20, 14.000000, 96, 101, 
sess0001, 000043, 97, 99, GVWY, 268, 20, 13.400000, SHVR, 332, 20, 16.600000, ZIC, 251, 20, 12.550000, ZIP, 325, 20, 16.250000, 97, 99, 
sess0001, 000044, 97, 101, GVWY, 268, 20, 13.400000, SHVR, 332, 20, 16.600000, ZIC, 282, 20, 14.100000, ZIP, 325, 20, 16.250000, 97, 101, 
sess0001, 000044, 97, 101, GVWY, 268, 20, 13.400000, SHVR, 341, 20, 17.050000, ZIC, 282, 20, 14.100000, ZIP, 364, 20, 18.200000, 97, 101, 
sess0001, 000047, 98, 101, GVWY, 268, 20, 13.400000, SHVR, 341, 20, 17.050000, ZIC, 282, 20, 14.100000, ZIP, 393, 20, 19.650000, 98, 101, 
sess0001, 000049, 99, 101, GVWY, 317, 20, 15.850000, SHVR, 341, 20, 17.050000, ZIC, 282, 20, 14.100000, ZIP, 400, 20, 20.000000, 99, 101, 
sess0001, 000049, 98, 109, GVWY, 317, 20, 15.850000, SHVR, 372, 20, 18.600000, ZIC, 282, 20, 14.100000, ZIP, 400, 20, 20.000000, 98, 109, 
sess0001, 000049, 94, 109, GVWY, 317, 20, 15.850000, SHVR, 372, 20, 18.600000, ZIC, 282, 20, 14.100000, ZIP, 441, 20, 22.050000, 94, 109, 
sess0001, 000053, 93, 98, GVWY, 349, 20, 17.450000, SHVR, 407, 20, 20.350000, ZIC, 282, 20, 14.100000, ZIP, 441, 20, 22.050000, 93, 98, 
sess0001, 000055, 96, 103, GVWY, 349, 20, 17.450000, SHVR, 407, 20, 20.350000, ZIC, 323, 20, 16.150000, ZIP, 441, 20, 22.050000, 96, 103, 
