B00, 0
B01, 1
B01, Blotteritem, {'type': 'Trade', 'time': 426.5999999998859, 'price': 58.0, 'party1': 'B01', 'party2': 'S00', 'qty': 1}
B02, 1
B02, Blotteritem, {'type': 'Trade', 'time': 503.3249999998161, 'price': 63.0, 'party1': 'B02', 'party2': 'S02', 'qty': 1}
B03, 8
B03, Blotteritem, {'type': 'Trade', 'time': 79.00000000000084, 'price': 67.0, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 168.42500000002116, 'price': 67.0, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 211.07500000003085, 'price': 63.0, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 289.2750000000108, 'price': 67.0, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 387.0249999999219, 'price': 68.0, 'party1': 'B03', 'party2': 'S00', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 426.39999999988606, 'price': 63.0, 'party1': 'B03', 'party2': 'S02', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 495.67499999982306, 'price': 64.0, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 561.7999999997629, 'price': 67.0, 'party1': 'B03', 'party2': 'S03', 'qty': 1}
B04, 13
B04, Blotteritem, {'type': 'Trade', 'time': 45.174999999998505, 'price': 70.0, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 66.0749999999979, 'price': 69.0, 'party1': 'B04', 'party2': 'S02', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 120.2000000000102, 'price': 72.0, 'party1': 'B04', 'party2': 'S04', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 166.9000000000208, 'price': 69.0, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 209.62500000003052, 'price': 72.0, 'party1': 'B04', 'party2': 'S04', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 270.4250000000279, 'price': 68.0, 'party1': 'B04', 'party2': 'S01', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 361.19999999994536, 'price': 69.0, 'party1': 'B04', 'party2': 'S02', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 385.59999999992317, 'price': 72.0, 'party1': 'B04', 'party2': 'S02', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 424.42499999988786, 'price': 69.0, 'party1': 'B04', 'party2': 'S03', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 453.6499999998613, 'price': 71.0, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 502.5499999998168, 'price': 69.0, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 544.0499999997791, 'price': 68.0, 'party1': 'B04', 'party2': 'S02', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 558.8999999997656, 'price': 70.0, 'party1': 'B04', 'party2': 'S01', 'qty': 1}
B05, 15
B05, Blotteritem, {'type': 'Trade', 'time': 37.599999999998936, 'price': 74.0, 'party1': 'B05', 'party2': 'S04', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 64.19999999999747, 'price': 73.0, 'party1': 'B05', 'party2': 'S04', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 112.20000000000839, 'price': 79.0, 'party1': 'B05', 'party2': 'S06', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 151.0250000000172, 'price': 73.0, 'party1': 'B05', 'party2': 'S04', 'qty': 1}
