B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 1
B06, Blotteritem, {'type': 'Trade', 'time': 28.549999999999446, 'price': 68, 'party1': 'B06', 'party2': 'S01', 'qty': 1}
B07, 0
B08, 11
B08, Blotteritem, {'type': 'Trade', 'time': 38.07499999999891, 'price': 86, 'party1': 'B08', 'party2': 'S02', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 198.75000000002805, 'price': 93, 'party1': 'B08', 'party2': 'S07', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 291.6500000000086, 'price': 92, 'party1': 'B08', 'party2': 'S00', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 334.04999999997005, 'price': 92, 'party1': 'B08', 'party2': 'S01', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 360.6999999999458, 'price': 92, 'party1': 'B08', 'party2': 'S05', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 390.44999999991876, 'price': 92, 'party1': 'B08', 'party2': 'S06', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 441.24999999987256, 'price': 91, 'party1': 'B08', 'party2': 'S07', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 444.9249999998692, 'price': 92, 'party1': 'B08', 'party2': 'S03', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 485.7249999998321, 'price': 93, 'party1': 'S05', 'party2': 'B08', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 550.9749999997728, 'price': 90, 'party1': 'B08', 'party2': 'S04', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 593.0999999997345, 'price': 89, 'party1': 'B08', 'party2': 'S01', 'qty': 1}
B09, 11
B09, Blotteritem, {'type': 'Trade', 'time': 10.900000000000087, 'price': 72, 'party1': 'S02', 'party2': 'B09', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 65.97499999999788, 'price': 94, 'party1': 'B09', 'party2': 'S04', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 113.5500000000087, 'price': 94, 'party1': 'S05', 'party2': 'B09', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 159.60000000001915, 'price': 93, 'party1': 'B09', 'party2': 'S05', 'qty': 1}
