B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 0
B15, 0
B16, 0
B17, 1
B17, Blotteritem, {'type': 'Trade', 'time': 5.909999999999918, 'price': 69, 'party1': 'S05', 'party2': 'B17', 'qty': 1}
B18, 0
B19, 1
B19, Blotteritem, {'type': 'Trade', 'time': 8.579999999999862, 'price': 85, 'party1': 'B19', 'party2': 'S03', 'qty': 1}
B20, 0
B21, 0
B22, 0
B23, 4
B23, Blotteritem, {'type': 'Trade', 'time': 13.439999999999758, 'price': 79, 'party1': 'S04', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 52.31999999999816, 'price': 98.0, 'party1': 'B23', 'party2': 'S10', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 303.6899999998688, 'price': 98.0, 'party1': 'B23', 'party2': 'S18', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 350.8399999998259, 'price': 98.0, 'party1': 'B23', 'party2': 'S15', 'qty': 1}
B24, 9
B24, Blotteritem, {'type': 'Trade', 'time': 19.090000000000185, 'price': 100.0, 'party1': 'B24', 'party2': 'S18', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 66.82999999999728, 'price': 100.0, 'party1': 'B24', 'party2': 'S10', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 207.5599999999562, 'price': 100.0, 'party1': 'B24', 'party2': 'S10', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 218.04999999994666, 'price': 100.0, 'party1': 'B24', 'party2': 'S09', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 278.3899999998918, 'price': 100.0, 'party1': 'B24', 'party2': 'S17', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 330.4399999998445, 'price': 100.0, 'party1': 'B24', 'party2': 'S01', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 445.02999999974026, 'price': 100.0, 'party1': 'B24', 'party2': 'S17', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 520.2399999996719, 'price': 100.0, 'party1': 'B24', 'party2': 'S09', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 544.1999999996501, 'price': 100.0, 'party1': 'B24', 'party2': 'S23', 'qty': 1}
B25, 20
B25, Blotteritem, {'type': 'Trade', 'time': 6.909999999999897, 'price': 94, 'party1': 'S11', 'party2': 'B25', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 52.089999999998206, 'price': 103.0, 'party1': 'B25', 'party2': 'S02', 'qty': 1}
