B00, 0
B01, 0
B02, 0
B03, 3
B03, Blotteritem, {'type': 'Trade', 'time': 18.27500000000003, 'price': 63.0, 'party1': 'B03', 'party2': 'S03', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 95.90000000000468, 'price': 65.0, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 431.79999999988115, 'price': 63.0, 'party1': 'B03', 'party2': 'S00', 'qty': 1}
B04, 13
B04, Blotteritem, {'type': 'Trade', 'time': 13.050000000000118, 'price': 71.0, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 57.89999999999778, 'price': 65.0, 'party1': 'B04', 'party2': 'S02', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 91.5750000000037, 'price': 69.0, 'party1': 'B04', 'party2': 'S03', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 128.175000000012, 'price': 70.0, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 167.82500000002102, 'price': 66.0, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 257.52500000003965, 'price': 65.0, 'party1': 'B04', 'party2': 'S01', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 272.6500000000259, 'price': 69.0, 'party1': 'B04', 'party2': 'S01', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 316.9499999999856, 'price': 65.0, 'party1': 'B04', 'party2': 'S02', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 394.07499999991546, 'price': 66.0, 'party1': 'B04', 'party2': 'S01', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 429.69999999988306, 'price': 67.0, 'party1': 'B04', 'party2': 'S01', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 486.54999999983136, 'price': 71.0, 'party1': 'B04', 'party2': 'S01', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 543.5499999997795, 'price': 68.0, 'party1': 'B04', 'party2': 'S01', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 546.5499999997768, 'price': 66.0, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
B05, 14
B05, Blotteritem, {'type': 'Trade', 'time': 51.27499999999816, 'price': 72.0, 'party1': 'B05', 'party2': 'S01', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 83.27500000000181, 'price': 76.0, 'party1': 'B05', 'party2': 'S03', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 102.00000000000607, 'price': 75.0, 'party1': 'S06', 'party2': 'B05', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 154.500000000018, 'price': 70.0, 'party1': 'B05', 'party2': 'S02', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 162.4250000000198, 'price': 75.0, 'party1': 'B05', 'party2': 'S03', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 227.40000000003457, 'price': 71.0, 'party1': 'B05', 'party2': 'S05', 'qty': 1}
