B00, 0
B01, 0
B02, 1
B02, Blotteritem, {'type': 'Trade', 'time': 444.8499999998693, 'price': 68.0, 'party1': 'B02', 'party2': 'S02', 'qty': 1}
B03, 5
B03, Blotteritem, {'type': 'Trade', 'time': 45.99999999999846, 'price': 73.0, 'party1': 'B03', 'party2': 'S03', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 332.97499999997103, 'price': 73.0, 'party1': 'B03', 'party2': 'S02', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 391.3999999999179, 'price': 73.0, 'party1': 'B03', 'party2': 'S00', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 438.4749999998751, 'price': 73.0, 'party1': 'B03', 'party2': 'S03', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 564.4999999997605, 'price': 71.0, 'party1': 'B03', 'party2': 'S00', 'qty': 1}
B04, 9
B04, Blotteritem, {'type': 'Trade', 'time': 43.949999999998575, 'price': 74.0, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 194.67500000002713, 'price': 73.0, 'party1': 'B04', 'party2': 'S03', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 223.75000000003374, 'price': 74.0, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 330.62499999997317, 'price': 75.0, 'party1': 'B04', 'party2': 'S03', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 341.1499999999636, 'price': 74.0, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 430.27499999988254, 'price': 79.0, 'party1': 'B04', 'party2': 'S01', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 499.52499999981956, 'price': 74.0, 'party1': 'B04', 'party2': 'S03', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 533.3999999997887, 'price': 77.0, 'party1': 'B04', 'party2': 'S02', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 588.7499999997384, 'price': 75.0, 'party1': 'B04', 'party2': 'S01', 'qty': 1}
B05, 16
B05, Blotteritem, {'type': 'Trade', 'time': 22.3499999999998, 'price': 79.0, 'party1': 'B05', 'party2': 'S00', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 92.40000000000389, 'price': 80.0, 'party1': 'B05', 'party2': 'S00', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 95.0750000000045, 'price': 84.0, 'party1': 'B05', 'party2': 'S05', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 167.750000000021, 'price': 84.0, 'party1': 'B05', 'party2': 'S00', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 209.75000000003055, 'price': 80.0, 'party1': 'B05', 'party2': 'S02', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 240.37500000003752, 'price': 80.0, 'party1': 'B05', 'party2': 'S03', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 288.97500000001105, 'price': 84.0, 'party1': 'B05', 'party2': 'S00', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 325.4249999999779, 'price': 79.0, 'party1': 'B05', 'party2': 'S01', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 357.7499999999485, 'price': 81.0, 'party1': 'B05', 'party2': 'S03', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 383.4499999999251, 'price': 83.0, 'party1': 'B05', 'party2': 'S05', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 418.5749999998932, 'price': 79.0, 'party1': 'B05', 'party2': 'S03', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 473.5499999998432, 'price': 82.0, 'party1': 'B05', 'party2': 'S03', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 497.44999999982144, 'price': 78.0, 'party1': 'B05', 'party2': 'S02', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 531.3999999997906, 'price': 84.0, 'party1': 'B05', 'party2': 'S00', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 576.02499999975, 'price': 78.0, 'party1': 'B05', 'party2': 'S03', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 587.9999999997391, 'price': 81.0, 'party1': 'B05', 'party2': 'S02', 'qty': 1}
B06, 18
B06, Blotteritem, {'type': 'Trade', 'time': 40.74999999999876, 'price': 88.0, 'party1': 'B06', 'party2': 'S01', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 80.10000000000109, 'price': 83.0, 'party1': 'B06', 'party2': 'S03', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 120.75000000001033, 'price': 88.0, 'party1': 'B06', 'party2': 'S05', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 179.95000000002378, 'price': 88.0, 'party1': 'B06', 'party2': 'S03', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 186.6500000000253, 'price': 89.0, 'party1': 'B06', 'party2': 'S00', 'qty': 1}
